cd_cnpj,(DIVISÃO - 2digitos CNAE),nu_ordem,cd_ramo_atividade,CNAE Total.de_ramo_atividade
10300581000130,10,4,7020400,ADMINISTRACAO DE CAIXAS ESCOLARES
10309339000390,10,0,111302,CULTIVO DE MILHO
10309339000390,10,1,111303,CULTIVO DE TRIGO
10309339000390,10,2,115600,CRIACAO DE BOVINOS PARA CORTE
10310460000170,10,0,4712100,COMERCIO VAREJISTA DE BEBIDAS
10311126000130,10,0,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10311126000130,10,1,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10311126000130,10,2,9602501,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
10311126000130,10,3,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
10311836000160,10,0,4329199,ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA
10311836000160,10,1,4330499,OBRAS DE ALVENARIA
10315087000140,10,0,8599699,OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE
10316007000170,10,0,4757100,"COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO"
10316007000170,10,1,9521500,REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
10317784000130,10,0,8291100,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS
1032172000100,10,0,8650001,ATIVIDADES DE ENFERMAGEM
1032404000120,10,0,122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
1032404000120,10,1,142300,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS
1032404000120,10,2,4789002,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS
1032404000120,10,3,5510801,HOTEIS
1032404000120,10,4,8130300,ATIVIDADES PAISAGISTICAS
10325227000160,10,0,4511102,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS"
10325227000160,10,1,4512902,COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES
10325227000160,10,2,4520005,"SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES"
10325227000160,10,3,5223100,ESTACIONAMENTO DE VEICULOS
10331483000160,10,0,5911101,ESTUDIOS CINEMATOGRAFICOS
10336075000100,10,0,4712100,COMERCIO VAREJISTA DE BEBIDAS
10336075000100,10,1,4724500,COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
10338021000760,10,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
10339648000140,10,0,4753900,COMERCIO VAREJISTA DE MOVEIS
10339648000140,10,1,4754701,COMERCIO VAREJISTA DE MOVEIS
10339648000140,10,2,4755503,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
10341474000150,10,0,9499500,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
10343009000230,10,0,4759899,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10343009000230,10,1,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10345117000160,10,0,4753900,COMERCIO VAREJISTA DE MOVEIS
10345117000160,10,1,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
10345117000160,10,2,4783102,COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA
10345117000160,10,3,9529103,REPARACAO DE JOIAS
10345117000160,10,4,9529106,REPARACAO DE JOIAS
10345860000110,10,0,9313100,ATIVIDADES DE CONDICIONAMENTO FISICO
10347827000120,10,0,4763601,COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS
10348127000150,10,0,4763602,COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
10348127000150,10,1,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10348127000150,10,2,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10348127000150,10,3,4782201,COMERCIO VAREJISTA DE CALCADOS
10348127000150,10,4,4782202,ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA
10348127000230,10,0,4763602,COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
10348127000230,10,1,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10348127000230,10,2,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10348127000230,10,3,4782201,COMERCIO VAREJISTA DE CALCADOS
10348127000230,10,4,4782202,ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA
10351362000180,10,0,113000,CRIACAO DE BOVINOS PARA CORTE
10352157000130,10,0,6209100,"SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO"
10357393000220,10,0,4742300,ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE
10357393000220,10,1,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
10357393000220,10,2,4754701,COMERCIO VAREJISTA DE MOVEIS
10357393000220,10,3,4759899,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10357393000220,10,4,8129000,ATIVIDADES DE CONDICIONAMENTO FISICO
10357406000180,10,0,4213800,"OBRAS DE URBANIZACAO  RUAS, PRACAS E CALCADAS"
10357406000180,10,1,4222701,"CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO"
10357406000180,10,2,4299501,CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS
10357406000180,10,3,4299599,OUTRAS OBRAS DE ENGENHARIA CIVIL NAO ESPECIFICADAS ANTERIORMENTE
10357406000180,10,4,4313400,OBRAS DE TERRAPLENAGEM
1035905000160,10,0,162899,ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE
1035905000160,10,1,9319199,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
10361489000180,10,0,111302,CULTIVO DE MILHO
10361489000180,10,1,151201,CRIACAO DE BOVINOS PARA CORTE
10361918000110,10,0,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
10361918000110,10,1,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10362845000180,10,0,134200,CULTIVO DE CAFE
10362878000120,10,0,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO
10364199000190,10,0,3832700,COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS
10364199000190,10,1,4687703,COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS
10366162000100,10,0,5590699,CONDOMINIOS PREDIAIS
10366162000100,10,1,6462000,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS
10366162000100,10,2,6810201,ALUGUEL DE IMOVEIS PROPRIOS
10366162000100,10,3,6810202,ALUGUEL DE IMOVEIS PROPRIOS
10369152000110,10,0,1013901,FABRICACAO DE PRODUTOS DE CARNE
10370610000130,10,0,4120400,CONSTRUCAO DE EDIFICIOS
10370610000130,10,1,7119701,"SERVICOS DE CARTOGRAFIA, TOPOGRAFIA E GEODESIA"
10372632000130,10,0,3314713,COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS
10372632000130,10,1,4541205,COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS
10372632000130,10,2,4543900,MANUTENCAO E REPARACAO DE MOTOCICLETAS E MOTONETAS
10372632000130,10,3,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10378399000100,10,0,4616800,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM"
10378399000100,10,1,5819100,"EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS"
10378399000100,10,2,7410203,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM"
10378399000100,10,3,8211300,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
10379005000120,10,0,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
10379450000190,10,0,6911701,SERVICOS ADVOCATICIOS
10380956000110,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10380956000110,10,1,4789002,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS
10380980000310,10,0,4741500,COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA
10381232000190,10,0,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10381232000190,10,1,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
10384415000160,10,0,6470101,"FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS"
10388271000110,10,0,4929902,AGENCIAS DE VIAGENS
10388707000170,10,0,4755503,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
10388707000170,10,1,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10388707000170,10,2,4782201,COMERCIO VAREJISTA DE CALCADOS
10388707000170,10,3,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
10390774000120,10,0,5240199,AGENCIAS DE VIAGENS
10390969000170,10,0,3101200,COMERCIO VAREJISTA DE MOVEIS
10390969000170,10,1,3329501,COMERCIO VAREJISTA DE MOVEIS
10391475000100,10,0,4683400,"COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS, ADUBOS, FERTILIZANTES E CORRETIVOS DO SOLO"
10391475000100,10,1,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
10391475000100,10,2,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
10391475000100,10,3,4771704,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO
10391475000100,10,4,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO
10393471000160,10,0,6462000,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS
10394172000140,10,0,4754701,COMERCIO VAREJISTA DE MOVEIS
10394172000140,10,1,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10394222000190,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10394222000190,10,1,4782201,COMERCIO VAREJISTA DE CALCADOS
10394222000190,10,2,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
10396192000150,10,0,133404,CULTIVO DE CAFE
10396192000150,10,1,230600,COMPRA E VENDA DE IMOVEIS PROPRIOS
10396192000150,10,2,4930202,LOCACAO DE AUTOMOVEIS SEM CONDUTOR
10396192000150,10,3,6463800,ALUGUEL DE ANDAIMES
10396192000150,10,4,6810201,ALUGUEL DE IMOVEIS PROPRIOS
10409898000100,10,0,4923002,OPERADORES TURISTICOS
10409898000100,10,1,4924800,TRANSPORTE ESCOLAR
10409898000100,10,2,7711000,LOCACAO DE AUTOMOVEIS SEM CONDUTOR
10409898000100,10,3,7911200,AGENCIAS DE VIAGENS
10419258000180,10,0,111302,CULTIVO DE MILHO
10419258000180,10,1,151202,CRIACAO DE BOVINOS PARA LEITE
10420716000100,10,0,4520003,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10420716000100,10,1,4520004,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10420716000100,10,2,4520005,"SERVICOS DE INSTALACAO, MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES"
10420716000100,10,3,4520006,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10420716000100,10,4,5611201,RESTAURANTES E SIMILARES
10421647000140,10,0,4619200,REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO
10423450000140,10,0,2521700,CONSTRUCAO DE RODOVIAS E FERROVIAS
10423450000140,10,1,2539001,SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
10423450000140,10,2,2542000,"FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS"
10423450000140,10,3,4211101,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10423450000140,10,4,4330499,OBRAS DE ALVENARIA
10426480000100,10,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA"
10428239000110,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10428907000100,10,0,2330399,"FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES"
10429216000120,10,0,4511101,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS NOVOS"
10429216000120,10,1,4511102,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS"
10429216000120,10,2,4541203,COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS
10429216000120,10,3,4541204,COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS
10430284000100,10,0,3314711,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
10430284000100,10,1,3314712,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10430284000100,10,2,4661300,ALUGUEL DE ANDAIMES
10430284000100,10,3,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10430711000150,10,0,4520001,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10435062000180,10,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA"
10435062000180,10,1,1412603,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
10435430000190,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10436267000180,10,0,4520002,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10436315000130,10,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
10441320000130,10,0,1622602,FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS
